mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,filename,spectral_centroids,zero_crossings,subject_id,age,gender,native_language
-437.5870056,142.8581848,12.35303307,32.30466461,3.115554571,-13.52779102,-8.617676735,-3.270235538,3.928259611,6.262966156,-2.568160057,6.543133736,-8.714982986,5.766402721,-2.784216881,-3.862402439,-0.840768814,-0.499466598,-5.800124645,-2.020831108,2036_hindi_scripted_2.wav,1099.583384,0.046962087,2036,25,cis woman,english (india)
-445.6546631,144.3349304,15.30128193,31.25851822,5.511633396,-10.3019352,-8.823514938,-7.776258945,3.674120665,3.713063717,-4.225008011,4.703277111,-8.577462196,6.855085373,-1.54232657,-3.987237453,0.406042248,-0.88916266,-3.766966343,0.039410498,2036_hindi_scripted_3.wav,1067.140957,0.045580778,2036,25,cis woman,english (india)
-547.7327881,183.1970825,47.52747726,29.53956413,13.73497391,3.738486052,5.674314499,5.098955154,2.989000559,7.505398273,2.940371275,4.649433613,-1.067491055,1.847728491,2.664384604,1.769356489,-2.725943565,1.519695282,1.690160632,-0.269612223,2037_hindi_nonscripted_0.wav,560.8386498,0.020686636,2037,21,cis man,hindi
-520.7585449,171.5507813,41.70316696,32.43281937,11.79310703,4.816167355,5.518502235,2.231279373,2.862359047,8.868966103,3.818151474,9.503325462,1.638719201,1.223018765,0.056601621,0.108775541,-5.187940121,-1.401535511,-1.998381734,0.21337086,2037_hindi_nonscripted_1.wav,656.3238003,0.02301756,2037,21,cis man,hindi
-509.2137756,163.9315033,43.56531525,33.64341354,13.41244411,4.67313385,2.477790833,-0.080475621,-0.936686397,4.987967491,1.278137207,8.014814377,2.218664646,1.75272584,2.236372709,2.769480228,-3.275595188,1.016799212,-0.665639579,-0.710086048,2037_hindi_scripted_2.wav,712.7389692,0.026005428,2037,21,cis man,hindi
-513.203064,172.5653076,46.64488983,32.9573555,14.4482851,3.109117985,1.12033987,0.152135476,1.189400673,5.288157463,0.657387435,5.879907608,0.217066526,-0.263624012,-1.552650332,1.931873083,-4.38977623,2.24969697,-0.051902853,1.515769243,2037_hindi_scripted_3.wav,683.2628535,0.026316124,2037,21,cis man,hindi
-520.3235474,150.3112793,70.34790802,36.82567596,17.8252182,4.170494556,0.9963938,-4.049088001,-8.87654686,-0.899317086,3.983453751,4.623807907,-1.05611074,-3.317806721,-1.399953127,-0.227545574,-1.090257883,1.698322654,-0.324905902,2.554707527,2038_hindi_nonscripted_0.wav,532.7528388,0.02472681,2038,26,cis man,hindi
-550.3492432,161.6651917,73.12447357,34.38067245,16.12447548,6.318256855,-0.764922857,-1.696302652,-0.276156157,2.196141243,4.719696999,3.148629427,-0.205798954,0.902113795,0.84783572,-0.777947605,-1.068481088,4.694589138,4.03516674,4.448814869,2038_hindi_nonscripted_1.wav,475.9059296,0.021703422,2038,26,cis man,hindi
-488.5364075,126.4981461,65.7718811,39.03302002,20.4023838,7.153734207,0.971304774,-5.438570023,-5.462009907,0.908885002,3.092133284,4.395215988,2.842886686,0.898516774,-2.620459318,-0.64309299,0.450741917,3.039306879,-1.230523467,-0.855223894,2038_hindi_scripted_2.wav,635.8993096,0.02675573,2038,26,cis man,hindi
-470.0191956,111.0566559,65.57154083,39.34370422,20.61097717,7.287421227,0.466365874,-4.069451809,-2.714608908,0.848149657,2.799921989,4.346918106,2.875146151,2.635287523,3.767121077,4.490542412,3.061239719,4.199368954,3.672911882,5.036449432,2038_hindi_scripted_3.wav,578.4790506,0.025318548,2038,26,cis man,hindi
